CLUES,CLAVE DE LA INSTITUCION,NOMBRE DE LA INSTITUCION,CLAVE DE LA ENTIDAD,ENTIDAD,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,CLAVE DE LA JURISDICCION,JURISDICCION,CLAVE DEL TIPO ESTABLECIMIENTO,NOMBRE TIPO ESTABLECIMIENTO,CLAVE DE TIPOLOGIA,NOMBRE DE TIPOLOGIA,CLAVE DE SUBTIPOLOGIA,NOMBRE DE SUBTIPOLOGIA,NOMBRE DE LA UNIDAD,NOMBRE COMERCIAL,CLAVE TIPO DE VIALIDAD,TIPO DE VIALIDAD,VIALIDAD,NUMERO EXTERIOR,NUMERO INTERIOR,CLAVE TIPO DE ASENTAMIENTO,TIPO DE ASENTAMIENTO,ASENTAMIENTO,CODIGO POSTAL,OBSERVACIONES DE LA DIRECCION,CLAVE ESTATUS DE OPERACION,ESTATUS DE OPERACION,RFC DEL ESTABLECIMIENTO,TELEFONO 1 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 1 DEL ESTABLECIMIENTO,TELEFONO 2 DEL ESTABLECIMIENTO,EXTENSION TELEFONICA 2 DEL ESTABLECIMIENTO,FECHA DE CONSTRUCCION,FECHA DE INICIO DE OPERACION,CLAVE UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA,UNIDAD MOVIL MARCA ESPECIFICA,UNIDAD MOVIL MODELO,CLAVE UNIDAD MOVIL PROGRAMA,UNIDAD MOVIL PROGRAMA,CLAVE UNIDAD MOVIL TIPO,UNIDAD MOVIL TIPO,CLAVE UNIDAD MOVIL TIPOLOGIA,UNIDAD MOVIL TIPOLOGIA,CLAVE DE LA INS ADM,NOMBRE DE LA INS ADM,CLAVE NIVEL ATENCION,NIVEL ATENCION,CLAVE ESTRATO UNIDAD,ESTRATO UNIDAD,CLAVE TIPO OBRA,TIPO OBRA,CLAVE PROPIEDAD DEL INMUEBLE,PROPIEDAD DEL INMUEBLE,LATITUD,LONGITUD,CLAVE ULTIMO MOVIMIENTO,ULTIMO MOVIMIENTO,FECHA ULTIMO MOVIMIENTO,COMENTARIOS DE LA VALIDACION,CLAVE MOTIVO BAJA,MOTIVO BAJA,FECHA EFECTIVA DE BAJA
MSSMP001924,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,GUADALUPE VICTORIA,SIN NUMERO  ,,7.0,COLONIA,CENTRO JIUTEPEC,62550.0,,1,EN OPERACION,XAXX111111,7771114511.0,,,,,01/10/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.8779893,-99.1754786,B,MODIFICACION,07/07/2016,,,,
MSSMP001933,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,2A PROLONGACION 5 DE MAYO,SIN NUMERO  ,,7.0,COLONIA,TLAHUAPAN,62553.0,,1,EN OPERACION,XAXX111111,7771162048.0,,,,,10/12/2012,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9016898,-99.1800911,B,MODIFICACION,07/07/2016,,,,
MSSMP001942,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,CHAPULTEPEC,SIN NUMERO  ,,7.0,COLONIA,ATLACOMULCO,62560.0,,1,EN OPERACION,XAXX111111,7773278217.0,,,,,13/11/2012,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9057546,-99.2071033,B,MODIFICACION,07/07/2016,,,,
MSSMP001951,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,3.0,AVENIDA,ALFONSO MILLAN,SIN NUMERO  ,,7.0,COLONIA,LOMAS DE JIUTEPEC,62566.0,,1,EN OPERACION,XAXX111111,7772844701.0,,,,,04/11/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.8749937,-99.1980086,B,MODIFICACION,07/07/2016,,,,
MSSMP001960,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,REAL DE YAUTEPEC,SIN NUMERO  ,,7.0,COLONIA,TEJALPA,62570.0,,1,EN OPERACION,XAXX111111,7772611285.0,,,,,15/09/2008,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9009018,-99.1667599,B,MODIFICACION,07/07/2016,,,,
MSSMP001975,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,4.0,BOULEVARD,CUAHUNAHUAC,SIN NUMERO  ,,7.0,COLONIA,VILLA DEL DESCANSO,62570.0,,1,EN OPERACION,XAXX111111,7771528389.0,,,,,15/08/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.8969448,-99.1687403,B,MODIFICACION,07/07/2016,,,,
MSSMP001993,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,23.0,CAMINO,CAMINO REAL DE YAUTEPEC,SIN NUMERO  ,,16.0,FRACCIONAMIENTO,EL PARAISO,62573.0,,1,EN OPERACION,XAXX111111,,,,,,01/07/2013,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.8989356,-99.1628446,B,MODIFICACION,07/07/2016,,,,
MSSMP002002,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,LAZARO CARDENAS,SIN NUMERO  ,,13.0,EJIDO,MORELOS,62577.0,,1,EN OPERACION,XAXX111111,7775631137.0,,,,,06/07/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9265974,-99.1794919,B,MODIFICACION,07/07/2016,,,,
MSSMP002011,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,21 DE MARZO,SIN NUMERO  ,,7.0,COLONIA,OTILIO MONTAÑO,62577.0,,1,EN OPERACION,XAXX111111,,,,,,29/11/2012,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9234166,-99.1713208,B,MODIFICACION,07/07/2016,,,,
MSSMP002020,SMP,SERVICIOS MEDICOS PRIVADOS,17,MORELOS,11,JIUTEPEC,1,JIUTEPEC,1,CUERNAVACA,1,DE CONSULTA EXTERNA,CAFS,CONSULTORIO ADYACENTE A FARMACIA,99,NO ESPECIFICADO,FARMACIAS SIMILARES,FARMACIAS SIMILARES,5.0,CALLE,40 NORTE,SIN NUMERO  ,,36.0,UNIDAD HABITACIONAL,CIVAC 1A SECCION,62578.0,,1,EN OPERACION,XAXX111111,7771325440.0,,,,,01/06/2011,,,,,,,,,,,FB,FUNDACION BEST A. C.,1,PRIMER NIVEL,2,URBANO,,,,,18.9178883,-99.1653832,B,MODIFICACION,07/07/2016,,,,
